mot;affichage;longueur;categorie;definition;registre;niveau;verif
AC;A.C.;2;initiales;Sigle qui précède Milan;factuel;1;club lombard
AC;A.C.;2;initiales;Initiales d'un technicien italien à Naples;factuel;3;Antonio Conte
AC;A.C.;2;initiales;Deux lettres rouges et noires;joueur;2;couleurs du club milanais
AD;A.D.;2;initiales;Initiales du numéro dix de la Juventus;factuel;2;idole turinoise
AD;A.D.;2;initiales;Champion du monde italien en 2006;factuel;1;titre en Allemagne
AD;A.D.;2;initiales;Deux lettres au pied gauche soyeux;joueur;2;style du joueur
AF;A.F.;2;initiales;Initiales du bâtisseur de Manchester United;factuel;1;vingt-six ans au club
AF;A.F.;2;initiales;Technicien écossais au chewing-gum;joueur;2;image du banc
AF;A.F.;2;initiales;Il a gagné deux Ligues des champions;factuel;2;1999 et 2008
AG;A.G.;2;initiales;Initiales d'un membre du carré magique;factuel;2;Bleus des années 80
AG;A.G.;2;initiales;Petit gabarit du milieu champion d'Europe;factuel;2;Euro 1984
AG;A.G.;2;initiales;Elles vont aussi à un champion du monde 2018;joueur;2;Griezmann
AH;A.H.;2;initiales;Initiales du capitaine marocain;factuel;1;brassard des Lions
AH;A.H.;2;initiales;Le plus capé du groupe marocain de 2026;factuel;2;soixante-dix sélections
AH;A.H.;2;initiales;Deux lettres qui montent tout le couloir droit;joueur;1;profil du latéral
AJ;A.J.;2;initiales;Sigle qui précède Auxerre;factuel;2;association de la jeunesse
AJ;A.J.;2;initiales;Initiales du sélectionneur champion en 1998;factuel;1;Aimé Jacquet
AJ;A.J.;2;initiales;Deux lettres bourguignonnes;joueur;2;implantation du club
AN;an;2;initiales;Durée qui sépare deux éditions de la Coupe de France;factuel;2;épreuve annuelle
AN;an;2;initiales;Il en faut quatre entre deux Coupes du monde;joueur;1;cycle mondial
AN;an;2;initiales;Deux lettres qui comptent les saisons;factuel;1;unité de temps
AP;A.P.;2;initiales;Initiales de l'architecte du milieu italien;factuel;2;champion du monde 2006
AP;A.P.;2;initiales;Sa Panenka a fait plier les Anglais;factuel;2;Euro 2012
AP;A.P.;2;initiales;Deux lettres qui jouaient la tête haute;joueur;2;vision du jeu
AS;as;2;vocab;Le meilleur dans sa spécialité;factuel;1;expression courante
AS;as;2;vocab;Il rate rarement son geste;joueur;2;joueur virtuose
AS;as;2;vocab;Champion du ballon rond;joueur;1;expression consacrée
AU;au;2;initiales;Il précède Vélodrome dans une adresse;factuel;1;article contracté
AU;au;2;initiales;Deux lettres devant but et devant poteau;joueur;1;usage courant
AU;au;2;initiales;Préposition des lieux du football;factuel;1;contraction de à le
AW;A.W.;2;initiales;Initiales du Professeur d'Arsenal;factuel;1;surnom à Londres
AW;A.W.;2;initiales;Il a bâti les Invincibles de 2004;factuel;2;saison sans défaite
AW;A.W.;2;initiales;Deux lettres alsaciennes devenues londoniennes;joueur;2;parcours du technicien
BL;B.L.;2;initiales;Initiales du latéral gauche de 1998;factuel;2;champion du monde
BL;B.L.;2;initiales;Défenseur basque passé par le Bayern;factuel;3;carrière en Allemagne
BL;B.L.;2;initiales;Deux lettres taillées comme un athlète;joueur;2;réputation physique
BS;B.S.;2;initiales;Initiales de l'auteur d'un triplé en petite finale;factuel;1;trois buts contre la France
BS;B.S.;2;initiales;Elles vont aussi à un gardien des Bleus;factuel;2;Brice Samba
BS;B.S.;2;initiales;Deux lettres qui ont fait très mal à Miami;joueur;2;performance de juillet 2026
CA;C.A.;2;initiales;Sigle qui précède Osasuna ou Boca;factuel;2;club atlético
CA;C.A.;2;initiales;Initiales du sélectionneur du Brésil en 2026;factuel;2;Carlo Ancelotti
CA;C.A.;2;initiales;Deux lettres devant bien des clubs argentins;joueur;2;convention sud-américaine
CE;ce;2;initiales;Adjectif devant match restera dans l'histoire;joueur;1;démonstratif
CE;ce;2;initiales;Il précède soir dans toutes les annonces;factuel;1;usage courant
CE;ce;2;initiales;Deux lettres devant but et devant geste;joueur;1;démonstratif courant
