mot;affichage;longueur;categorie;definition;registre;niveau;verif
ZZ;Z.Z.;2;initiales;Initiales du héros de 1998;joueur;1;Zidane double buteur finale 98
ZZ;Z.Z.;2;initiales;Sa Panenka de 2006 est restée célèbre;joueur;2;finale 2006 France-Italie
DD;D.D.;2;initiales;Initiales du sélectionneur champion 2018;factuel;1;Deschamps sélectionneur 2012-2025
DD;D.D.;2;initiales;Il l'a gagnée en joueur et en sélectionneur;joueur;1;champion 1998 et 2018
KM;K.M.;2;initiales;Initiales du capitaine des Bleus;factuel;1;Mbappé capitaine depuis 2023
KM;K.M.;2;initiales;Le Bondynois en deux lettres;joueur;2;Mbappé né à Bondy
LM;L.M.;2;initiales;La Pulga en initiales;joueur;1;surnom de Messi
LM;L.M.;2;initiales;Initiales d'un octuple Ballon d'Or;factuel;1;Messi 8 Ballons d'Or
CR;C.R.;2;initiales;Initiales du Portugais aux cinq Ballons d'Or;factuel;1;Cristiano Ronaldo
CR;C.R.;2;initiales;Siuuu en deux lettres;joueur;2;célébration de Ronaldo
NM;N.M.;2;initiales;Initiales du crack de Santos passé par Paris;factuel;2;Neymar PSG 2017-2023
NM;N.M.;2;initiales;Le Ney en initiales;joueur;2;surnom de Neymar
AG;A.G.;2;initiales;Initiales du Français de l'Atlético;factuel;2;Griezmann Atlético
AG;A.G.;2;initiales;Grizou en initiales;joueur;1;surnom de Griezmann
OG;O.G.;2;initiales;Initiales de Giroud;factuel;1;
OG;O.G.;2;initiales;Sa volée en scorpion a eu le prix Puskas;joueur;2;prix Puskas 2017
KB;K.B.;2;initiales;Initiales du Nueve de Madrid;joueur;2;Benzema Real 2009-2023
KB;K.B.;2;initiales;Initiales du Ballon d'Or 2022;factuel;1;Benzema Ballon d'Or 2022
PP;P.P.;2;initiales;Initiales de la Pioche;joueur;2;surnom de Pogba
PP;P.P.;2;initiales;Initiales de Pogba;factuel;1;
NK;N.K.;2;initiales;Initiales de l'infatigable N'Golo;joueur;1;Kanté
NK;N.K.;2;initiales;Il couvrait tout le terrain en 2018;joueur;2;Kanté champion 2018
TH;T.H.;2;initiales;Initiales du roi d'Highbury;joueur;2;Henry légende d'Arsenal
TH;T.H.;2;initiales;Titi en initiales;joueur;2;surnom de Thierry Henry
EC;E.C.;2;initiales;Initiales du King de Manchester;joueur;2;Cantona
EC;E.C.;2;initiales;Initiales de Cantona;factuel;1;
MP;M.P.;2;initiales;Initiales de Platini;factuel;1;
MP;M.P.;2;initiales;Le patron des Bleus de 1984 en initiales;joueur;2;Platini Euro 1984
SM;S.M.;2;initiales;Initiales de Sadio Mané;factuel;1;
SM;S.M.;2;clubs;Stade Malherbe en abrégé;factuel;2;SM Caen
RB;R.B.;2;clubs;Sigle énergisant de Leipzig;joueur;2;RB Leipzig
RB;R.B.;2;clubs;Taureaux rouges en sigle;joueur;2;Red Bull
EA;E.A.;2;clubs;En Avant de Guingamp en sigle;factuel;2;EA Guingamp
EA;E.A.;2;culture;L'éditeur du jeu FC en sigle;factuel;1;EA Sports FC
AJ;A.J.;2;clubs;Auxerre en sigle;factuel;1;AJ Auxerre
AJ;A.J.;2;clubs;Le club de Guy Roux en sigle;joueur;2;Guy Roux AJA
US;U.S.;2;clubs;Union Sportive en abrégé;factuel;1;
US;U.S.;2;selections;Préfixe du pays hôte 2026;factuel;2;USA hôte CDM 2026
CF;C.F.;2;clubs;Clermont Foot en sigle;factuel;2;
CF;C.F.;2;clubs;Les deux dernières lettres du Real Madrid;factuel;2;Real Madrid CF
OM;O.M.;2;clubs;Le club phocéen en sigle;factuel;1;Olympique de Marseille
OM;O.M.;2;clubs;Champion d'Europe 1993;factuel;1;OM vainqueur C1 1993
OL;O.L.;2;clubs;Les Gones en sigle;factuel;1;Olympique Lyonnais
OL;O.L.;2;clubs;Sept titres d'affilée dans les années 2000;factuel;2;OL champion 2002-2008
AC;A.C.;2;clubs;Préfixe rossonero de Milan;factuel;1;AC Milan
AC;A.C.;2;clubs;Ajaccio en sigle;factuel;2;AC Ajaccio
FC;F.C.;2;clubs;Football Club en abrégé;factuel;1;
FC;F.C.;2;clubs;Préfixe de Barcelone ou de Nantes;factuel;1;
RC;R.C.;2;clubs;Racing Club en abrégé;factuel;1;
RC;R.C.;2;clubs;Préfixe de Lens ou de Strasbourg;factuel;1;
SC;S.C.;2;clubs;Sporting Club en abrégé;factuel;1;
SC;S.C.;2;clubs;Préfixe de Bastia;factuel;2;SC Bastia
AS;A.S.;2;clubs;Association Sportive en abrégé;factuel;1;
AS;A.S.;2;clubs;Préfixe de Monaco ou de Rome;factuel;1;AS Monaco AS Roma
KO;K.-O.;2;vocab;Sonné debout;joueur;1;
KO;K.-O.;2;vocab;Éliminé au tableau final;joueur;2;phase à élimination directe
OR;or;2;competitions;Métal du Ballon des meilleurs;factuel;1;Ballon d'Or
OR;or;2;competitions;Le but en ... éliminait sur-le-champ;factuel;2;but en or 1996-2004
TV;télé;2;culture;Les matchs y passent en prime;factuel;1;
TV;télé;2;culture;Écran des soirs de Ligue des champions;joueur;1;
XI;XI;2;vocab;Le onze en romain;factuel;1;
XI;XI;2;vocab;Équipe type à la romaine;joueur;2;
UN;un;2;vocab;Numéro du gardien;factuel;1;
UN;un;2;vocab;Le premier au classement;factuel;1;
IL;il;2;fillfoot;Pronom du buteur;joueur;1;
IL;il;2;fillfoot;Pronom masculin;factuel;1;
ON;on;2;fillfoot;Pronom des chants de tribune;joueur;2;
ON;on;2;fillfoot;Pronom indéfini;factuel;1;
ET;et;2;fillfoot;Lie l'attaque à la défense;joueur;1;
ET;et;2;fillfoot;Conjonction du duo;factuel;1;
OU;ou;2;fillfoot;Conjonction d'alternative;factuel;1;
OU;ou;2;fillfoot;Aller ... retour au choix;joueur;2;
AN;an;2;fillfoot;Douze mois de mercato;joueur;1;
AN;an;2;fillfoot;Unité de durée des contrats;factuel;1;
OS;os;2;fillfoot;Fracture redoutée du tacleur;joueur;2;
OS;os;2;fillfoot;Charpente du squelette;factuel;1;
EN;en;2;fillfoot;Équipe nationale en abrégé;factuel;2;
EN;en;2;fillfoot;Préposition;factuel;1;
RE;ré;2;fillfoot;Préfixe du match retour;joueur;2;
RE;ré;2;fillfoot;Note de la gamme;factuel;1;
LA;la;2;fillfoot;Article de la Liga;joueur;2;
LA;la;2;fillfoot;Note de la gamme;factuel;1;
LE;le;2;fillfoot;Article du Classique;joueur;2;
LE;le;2;fillfoot;Article défini;factuel;1;
SE;se;2;fillfoot;Pronom réfléchi;factuel;1;
SE;se;2;fillfoot;Pronom du repli défensif;joueur;2;
NI;ni;2;fillfoot;Conjonction négative;factuel;1;
NI;ni;2;fillfoot;Jumelle négative;joueur;2;
DE;de;2;fillfoot;Préposition;factuel;1;
DE;de;2;fillfoot;Il précède Bruyne;joueur;2;Kevin De Bruyne
BUT;but;3;vocab;L'objectif du jeu;factuel;1;
BUT;but;3;vocab;On le célèbre bras levés;joueur;1;
TIR;tir;3;vocab;Frappe cadrée ou non;factuel;1;
TIR;tir;3;vocab;Il peut être enroulé;joueur;2;
LOB;lob;3;vocab;Frappe qui passe au-dessus du gardien;factuel;1;
VAR;V.A.R.;3;vocab;L'arbitrage vidéo en sigle;factuel;1;
VAR;V.A.R.;3;vocab;Trois lettres qui annulent des buts;joueur;1;
CSC;C.S.C.;3;vocab;But marqué contre son camp en sigle;factuel;1;
CSC;C.S.C.;3;vocab;Le but dont personne ne veut;joueur;2;
PSG;P.S.G.;3;clubs;Le club de la capitale en sigle;factuel;1;
PSG;P.S.G.;3;clubs;Premier champion d'Europe français depuis 1993;factuel;2;vainqueur C1 2025
FFF;F.F.F.;3;selections;La fédération tricolore en sigle;factuel;1;
CAN;C.A.N.;3;competitions;La coupe continentale africaine en sigle;factuel;1;
OLE;olé;3;culture;Cri des passes réussies en tribune;joueur;1;
OLE;olé;3;culture;Exclamation de toréador;factuel;1;
OLA;ola;3;culture;La vague des tribunes;factuel;1;
OLA;ola;3;culture;Elle fait lever tout le stade;joueur;1;
ETE;été;3;fillfoot;Saison du mercato;joueur;1;
ETE;été;3;fillfoot;Saison des tournois de préparation;factuel;2;
ERE;ère;3;fillfoot;Époque d'un règne;factuel;1;
ROI;roi;3;legendes;Surnom de Pelé;factuel;1;
ROI;roi;3;fillfoot;Monarque;factuel;1;
MER;mer;3;fillfoot;Étendue salée;factuel;1;
SUD;sud;3;culture;Virage des ultras à Marseille;joueur;2;virage Sud Vélodrome
SUD;sud;3;fillfoot;Point cardinal;factuel;1;
EST;est;3;fillfoot;Point cardinal;factuel;1;
AIL;ail;3;fillfoot;Condiment en gousse;factuel;1;
ILE;île;3;fillfoot;Terre entourée d'eau;factuel;1;
USE;use;3;fillfoot;Abîme le maillot;joueur;2;
OSE;ose;3;fillfoot;Tente le geste fou;joueur;1;
ANE;âne;3;fillfoot;Équidé têtu;factuel;1;
AIR;air;3;fillfoot;Le ballon y flotte sur un lob;joueur;2;
EAU;eau;3;fillfoot;Contenu de la gourde;joueur;1;
NET;net;3;fillfoot;Score sans appel;joueur;2;
SEL;sel;3;fillfoot;Assaisonnement des derbies;joueur;2;
RAI;Raí;3;legendes;Meneur brésilien du PSG des années 90;factuel;2;Raí PSG 1993-1998
LAC;lac;3;fillfoot;Étendue d'eau douce;factuel;1;
FIL;fil;3;fillfoot;Le match tient parfois à lui;joueur;2;
CAP;cap;3;vocab;Une sélection en anglais;factuel;2;
COR;cor;3;fillfoot;Instrument des fanfares de stade;joueur;2;
RAT;rat;3;fillfoot;Rongeur;factuel;1;
TAS;tas;3;fillfoot;Pile de maillots;joueur;1;
SAC;sac;3;fillfoot;Bagage du déplacement;joueur;1;
RIO;Rio;3;stades;Ville du Maracana;factuel;1;
LEO;Leo;3;legendes;Prénom de la Pulga;factuel;1;Lionel Messi
DUO;duo;3;vocab;Paire d'attaque;joueur;1;
HAC;H.A.C.;3;clubs;Doyen des clubs français en sigle;factuel;2;Le Havre AC fondé 1872
OGC;O.G.C.;3;clubs;Sigle niçois;factuel;2;OGC Nice
FCN;F.C.N.;3;clubs;Sigle canari;factuel;2;FC Nantes
ASM;A.S.M.;3;clubs;Sigle monégasque;factuel;2;AS Monaco
PUB;pub;3;culture;Où les British regardent les matchs;joueur;1;
PUB;pub;3;culture;Coupure des mi-temps télé;joueur;2;
FAN;fan;3;culture;Supporter inconditionnel;factuel;1;
MUR;mur;3;vocab;Il se dresse sur coup franc;factuel;1;
MUR;mur;3;vocab;Surnom d'une défense infranchissable;joueur;2;
AXE;axe;3;vocab;Couloir central du terrain;factuel;1;
NUL;nul;3;vocab;Score de parité;factuel;1;
NUL;nul;3;vocab;Vous êtes pas contents ?;joueur;2;
BAL;bal;3;fillfoot;Soirée dansante;factuel;1;
AME;âme;3;fillfoot;Cœur d'une équipe;joueur;1;
RUE;rue;3;fillfoot;Le foot y commence souvent;joueur;1;
VIE;vie;3;fillfoot;Elle continue après une défaite;joueur;1;
NEZ;nez;3;fillfoot;Flair du buteur;joueur;1;
DOS;dos;3;fillfoot;Le numéro s'y affiche;joueur;1;
PRE;pré;3;fillfoot;Autre nom du rectangle vert;joueur;2;
UNE;une;3;culture;Première page des journaux sportifs;factuel;1;
SUR;sur;3;fillfoot;Préposition du marquage strict;joueur;2;
PAR;par;3;fillfoot;Préposition;factuel;1;
LOI;loi;3;vocab;Il y en a dix-sept dans le jeu;factuel;2;17 lois de l'IFAB
GAG;gag;3;fillfoot;Le CSC ridicule en est un;joueur;2;
TOP;top;3;fillfoot;Départ du sprint;factuel;1;
ODE;ode;3;fillfoot;Chant à la gloire d'une idole;factuel;2;
ETC;etc.;3;fillfoot;Abréviation des longues listes;factuel;1;
ITA;ITA;3;selections;Code FIFA de l'Italie;factuel;2;
ESP;ESP;3;selections;Code FIFA de l'Espagne;factuel;2;
ARG;ARG;3;selections;Code FIFA des triples champions du monde;factuel;2;Argentine 1978 1986 2022
BRA;BRA;3;selections;Code FIFA du pays aux cinq étoiles;factuel;2;Brésil quintuple champion
FRA;FRA;3;selections;Code FIFA des Bleus;factuel;1;
ENG;ENG;3;selections;Code FIFA des Three Lions;factuel;2;Angleterre
POR;POR;3;selections;Code FIFA du pays de Ronaldo;factuel;2;Portugal
URU;URU;3;selections;Code FIFA du premier champion du monde;factuel;2;Uruguay 1930
MEX;MEX;3;selections;Code FIFA d'un hôte 2026;factuel;2;Mexique co-hôte
USA;USA;3;selections;Hôte principal du Mondial 2026;factuel;1;
PELE;Pelé;4;legendes;Le Roi aux trois Mondiaux;factuel;1;1958 1962 1970
XAVI;Xavi;4;legendes;Métronome du tiki-taka;joueur;1;
KAKA;Kaká;4;legendes;Ballon d'Or 2007;factuel;1;
ZICO;Zico;4;legendes;Surnommé le Pelé blanc;factuel;2;
RAUL;Raúl;4;legendes;Légende madrilène du numéro 7;factuel;2;
OWEN;Owen;4;legendes;Ballon d'Or 2001;factuel;2;Michael Owen
KANE;Kane;4;actuels;Buteur anglais du Bayern;factuel;1;
MANE;Mané;4;actuels;Champion d'Afrique 2022;factuel;1;Sénégal CAN 2022
SAKA;Saka;4;actuels;Ailier des Gunners;factuel;1;
PEPE;Pepe;4;legendes;Roc portugais;factuel;2;
NANI;Nani;4;legendes;Ailier portugais de United;factuel;2;
DECO;Deco;4;legendes;Meneur luso-brésilien;factuel;2;
ETOO;Eto'o;4;legendes;Légende camerounaise;factuel;1;Samuel Eto'o
CECH;Čech;4;legendes;Gardien au casque;factuel;1;Petr Čech
KOPA;Kopa;4;legendes;Ballon d'Or français 1958;factuel;2;Raymond Kopa
ZOLA;Zola;4;legendes;Magicien sarde de Chelsea;factuel;2;Gianfranco Zola
GAVI;Gavi;4;actuels;Prodige du Barça;factuel;1;
FATI;Fati;4;actuels;Ansu précoce du Barça;factuel;2;
LUIZ;Luiz;4;legendes;David frisé de Chelsea et du PSG;joueur;2;David Luiz
EURO;Euro;4;competitions;Championnat pas mondial;joueur;1;
EURO;euro;4;fillfoot;Monnaie des transferts;factuel;1;
COPA;Copa;4;competitions;Coupe en VO sud-américaine;factuel;1;Copa America
FIFA;FIFA;4;competitions;L'instance mondiale;factuel;1;
